espece_botanique_code,espece_botanique_title,qualifiant_code,periode_semis_code,culture_EDI,id_parcelle_pv,debut_traitement,type_travail_code,type_travail_title,surface_evt,id_parcelle_vi,uc_name,amm_id,quantite_intrant,unite_intrant,dose
ZAP,Betterave,ZAN,,ZAPZAN,0144,201802280000,SEX,Traitement phytosanitaire,"3,2396",0144,BETASANA OPTI,2160916,"4,2115",LTR,"1,300"
ZAR,Blé tendre,,ZFB,ZARZFB,0148,201802280000,SEM,Fertilisation,"2,02",0148,Ammo 24N-16S,,"420,8333",KGM,"208,3333168"
ZAR,Blé tendre,,ZFB,ZARZFB,0148,201802280000,SEM,Fertilisation,"2,02",0148,Ammo 27N-3Mg,,"463,8518",KGM,"229,629604"
ZAR,Blé tendre,,ZFB,ZARZFB,0150,201802280000,SEM,Fertilisation,"2,7813",0150,Ammo 24N-16S,,"579,4374",KGM,"208,3332974"
ZAR,Blé tendre,,ZFB,ZARZFB,0150,201802280000,SEM,Fertilisation,"2,7813",0150,Ammo 27N-3Mg,,"1153,7244",KGM,"414,8147988"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201803150000,SEM,Fertilisation,"7,507",0120,Ammo 27N-3Mg,,"3503,2669",KGM,"466,6666977"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201803150000,SEM,Fertilisation,"6,71",0132,Ammo 27N-3Mg,,"3230,7409",KGM,"481,4815052"
ZAP,Betterave,ZAN,,ZAPZAN,0135,201803150000,SEM,Fertilisation,"3,1046",0135,Ammo 27N-3Mg,,"1494,8075",KGM,"481,4815113"
ZAP,Betterave,ZAN,,ZAPZAN,0144,201803150000,SEM,Fertilisation,"3,2396",0144,Ammo 27N-3Mg,,"1559,8075",KGM,"481,4815101"
ZAP,Betterave,ZAN,,ZAPZAN,0120,201803150000,SEM,Fertilisation,"7,507",0120,Ammo 27N-3Mg,,"3503,2669",KGM,"466,6666977"
ZAP,Betterave,ZAN,,ZAPZAN,0132,201803150000,SEM,Fertilisation,"6,71",0132,Ammo 27N-3Mg,,"3230,7409",KGM,"481,4815052"
ZAP,Betterave,ZAN,,ZAPZAN,0135,201803150000,SEM,Fertilisation,"3,1046",0135,Ammo 27N-3Mg,,"1494,8075",KGM,"481,4815113"
